slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,best_of=3 & age_gap_bucket=0-2,False,134,0.2271,0.6791,0.6791,0.0,0.0689,0.0706,0.0017,0.5858,0.5708,-0.015,flat
1,age_gap_bucket=6-8,False,123,0.2085,0.6504,0.6504,0.0,0.0402,0.0419,0.0017,0.5765,0.5714,-0.0051,flat
2,best_of=3 & age_gap_bucket=6-8,False,121,0.2051,0.6529,0.6529,0.0,0.0427,0.0444,0.0017,0.5768,0.5717,-0.0051,flat
2,surface=Hard & rank_gap_bucket=>100,False,113,0.1915,0.6283,0.6283,0.0,0.0181,0.0198,0.0017,0.5727,0.5643,-0.0084,flat
2,handedness_matchup=R-vs-R & rank_gap_bucket=26-50,False,111,0.1881,0.6757,0.6757,0.0,0.0655,0.0672,0.0017,0.5999,0.5917,-0.0082,flat
2,handedness_matchup=R-vs-R & age_gap_bucket=>8,False,98,0.1661,0.5918,0.5918,0.0,-0.0183,-0.0166,0.0017,0.554,0.5521,-0.0019,flat
2,round=R16 & handedness_matchup=R-vs-R,False,75,0.1271,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.5791,0.5738,-0.0052,flat
2,age_gap_bucket=3-5 & form_gap_bucket=0.00-0.10,False,69,0.1169,0.4638,0.4638,0.0,-0.1464,-0.1447,0.0017,0.4994,0.4946,-0.0047,flat
1,round=R64,False,56,0.0949,0.6964,0.6964,0.0,0.0863,0.088,0.0017,0.599,0.5849,-0.0141,flat
2,surface=Hard & round=R64,False,56,0.0949,0.6964,0.6964,0.0,0.0863,0.088,0.0017,0.599,0.5849,-0.0141,flat
2,tourney_level=M & round=R64,False,56,0.0949,0.6964,0.6964,0.0,0.0863,0.088,0.0017,0.599,0.5849,-0.0141,flat
2,best_of=3 & round=R64,False,56,0.0949,0.6964,0.6964,0.0,0.0863,0.088,0.0017,0.599,0.5849,-0.0141,flat
2,tourney_level=M & age_gap_bucket=3-5,False,54,0.0915,0.5926,0.5926,0.0,-0.0176,-0.0159,0.0017,0.5489,0.5422,-0.0067,flat
2,rank_gap_bucket=11-25 & form_gap_bucket=0.00-0.10,False,51,0.0864,0.4902,0.4902,0.0,-0.12,-0.1183,0.0017,0.5014,0.4862,-0.0152,flat
2,age_gap_bucket=>8 & form_gap_bucket=0.00-0.10,False,51,0.0864,0.549,0.549,0.0,-0.0611,-0.0595,0.0017,0.5416,0.5311,-0.0105,flat
2,age_gap_bucket=6-8 & form_gap_bucket=0.00-0.10,False,48,0.0814,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5652,0.5586,-0.0066,flat
2,tourney_level=250 & rank_gap_bucket=26-50,False,47,0.0797,0.5532,0.5532,0.0,-0.057,-0.0553,0.0017,0.5282,0.5289,0.0007,flat
2,tourney_level=250 & rank_gap_bucket=51-100,False,46,0.078,0.6522,0.6522,0.0,0.042,0.0437,0.0017,0.55,0.5512,0.0012,flat
2,round=R32 & age_gap_bucket=>8,False,45,0.0763,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.5728,0.5723,-0.0005,flat
2,round=R64 & handedness_matchup=R-vs-R,False,44,0.0746,0.6364,0.6364,0.0,0.0262,0.0279,0.0017,0.5756,0.5677,-0.0079,flat
2,round=R32 & age_gap_bucket=0-2,False,41,0.0695,0.6829,0.6829,0.0,0.0728,0.0745,0.0017,0.5962,0.5813,-0.0148,flat
2,age_gap_bucket=6-8 & form_gap_bucket=0.10-0.25,False,40,0.0678,0.575,0.575,0.0,-0.0352,-0.0335,0.0017,0.5617,0.5506,-0.0111,flat
2,round=R32 & age_gap_bucket=6-8,False,39,0.0661,0.6154,0.6154,0.0,0.0052,0.0069,0.0017,0.5733,0.5736,0.0003,flat
2,age_gap_bucket=>8 & form_gap_bucket=0.10-0.25,False,39,0.0661,0.6154,0.6154,0.0,0.0052,0.0069,0.0017,0.5497,0.5547,0.0049,flat
2,round=R32 & form_gap_bucket=0.25-0.40,False,38,0.0644,0.6842,0.6842,0.0,0.074,0.0757,0.0017,0.5649,0.5683,0.0034,flat
2,age_gap_bucket=0-2 & form_gap_bucket=0.25-0.40,False,37,0.0627,0.6486,0.6486,0.0,0.0385,0.0402,0.0017,0.5754,0.5687,-0.0067,flat
2,rank_gap_bucket=>100 & age_gap_bucket=>8,False,37,0.0627,0.6757,0.6757,0.0,0.0655,0.0672,0.0017,0.5851,0.5797,-0.0054,flat
2,rank_gap_bucket=>100 & age_gap_bucket=3-5,False,36,0.061,0.5556,0.5556,0.0,-0.0546,-0.0529,0.0017,0.5397,0.5325,-0.0072,flat
2,round=R16 & form_gap_bucket=0.10-0.25,False,35,0.0593,0.6286,0.6286,0.0,0.0184,0.0201,0.0017,0.577,0.5622,-0.0148,flat
2,rank_gap_bucket=26-50 & age_gap_bucket=6-8,False,35,0.0593,0.6857,0.6857,0.0,0.0755,0.0772,0.0017,0.6143,0.6077,-0.0066,flat
2,tourney_level=M & age_gap_bucket=0-2,False,35,0.0593,0.8571,0.8571,0.0,0.247,0.2487,0.0017,0.6539,0.626,-0.0279,flat
2,tourney_level=250 & form_gap_bucket=0.25-0.40,False,34,0.0576,0.6471,0.6471,0.0,0.0369,0.0386,0.0017,0.5311,0.5186,-0.0125,flat
2,tourney_level=M & form_gap_bucket=0.25-0.40,False,34,0.0576,0.7941,0.7941,0.0,0.1839,0.1856,0.0017,0.6175,0.6156,-0.0019,flat
1,form_gap_bucket=>0.40,False,33,0.0559,0.7576,0.7576,0.0,0.1474,0.1491,0.0017,0.6518,0.647,-0.0048,flat
2,best_of=3 & form_gap_bucket=>0.40,False,33,0.0559,0.7576,0.7576,0.0,0.1474,0.1491,0.0017,0.6518,0.647,-0.0048,flat
2,rank_gap_bucket=11-25 & age_gap_bucket=0-2,False,33,0.0559,0.8182,0.8182,0.0,0.208,0.2097,0.0017,0.5853,0.5732,-0.0122,flat
2,round=RR & form_gap_bucket=0.10-0.25,False,32,0.0542,0.3438,0.3438,0.0,-0.2664,-0.2647,0.0017,0.4702,0.4654,-0.0048,flat
2,rank_gap_bucket=51-100 & age_gap_bucket=0-2,False,32,0.0542,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5798,0.5767,-0.0031,flat
2,tourney_level=500 & age_gap_bucket=6-8,False,32,0.0542,0.6562,0.6562,0.0,0.0461,0.0478,0.0017,0.5865,0.5805,-0.006,flat
2,surface=Hard & form_gap_bucket=>0.40,False,31,0.0525,0.7742,0.7742,0.0,0.164,0.1657,0.0017,0.6607,0.6589,-0.0018,flat
2,round=RR & form_gap_bucket=0.25-0.40,False,29,0.0492,0.7241,0.7241,0.0,0.114,0.1157,0.0017,0.5942,0.5958,0.0016,flat
2,age_gap_bucket=6-8 & form_gap_bucket=0.25-0.40,False,28,0.0475,0.7857,0.7857,0.0,0.1755,0.1772,0.0017,0.5983,0.5944,-0.0039,flat
2,rank_gap_bucket=0-10 & age_gap_bucket=6-8,False,27,0.0458,0.5926,0.5926,0.0,-0.0176,-0.0159,0.0017,0.5304,0.5316,0.0012,flat
2,rank_gap_bucket=51-100 & age_gap_bucket=>8,False,26,0.0441,0.6923,0.6923,0.0,0.0821,0.0838,0.0017,0.5917,0.5802,-0.0115,flat
2,handedness_matchup=R-vs-R & form_gap_bucket=>0.40,False,26,0.0441,0.8077,0.8077,0.0,0.1975,0.1992,0.0017,0.6572,0.6491,-0.0082,flat
2,round=R64 & form_gap_bucket=0.00-0.10,False,25,0.0424,0.64,0.64,0.0,0.0298,0.0315,0.0017,0.5817,0.5574,-0.0242,flat
1,tourney_level=A,False,24,0.0407,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.5066,0.4892,-0.0174,flat
2,surface=Hard & tourney_level=A,False,24,0.0407,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.5066,0.4892,-0.0174,flat
2,rank_gap_bucket=>100 & form_gap_bucket=0.25-0.40,False,24,0.0407,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.5495,0.5452,-0.0043,flat
2,tourney_level=M & rank_gap_bucket=0-10,False,23,0.039,0.6957,0.6957,0.0,0.0855,0.0872,0.0017,0.5567,0.5461,-0.0106,flat
2,round=R32 & rank_gap_bucket=51-100,False,23,0.039,0.6957,0.6957,0.0,0.0855,0.0872,0.0017,0.5556,0.5648,0.0093,flat
2,rank_gap_bucket=51-100 & form_gap_bucket=0.25-0.40,False,23,0.039,0.7391,0.7391,0.0,0.129,0.1307,0.0017,0.597,0.5883,-0.0087,flat
2,round=RR & rank_gap_bucket=51-100,False,22,0.0373,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.5077,0.5021,-0.0056,flat
2,rank_gap_bucket=11-25 & age_gap_bucket=>8,False,22,0.0373,0.5909,0.5909,0.0,-0.0193,-0.0176,0.0017,0.5107,0.5181,0.0074,flat
2,round=SF & handedness_matchup=R-vs-R,False,22,0.0373,0.6364,0.6364,0.0,0.0262,0.0279,0.0017,0.5635,0.5447,-0.0187,flat
2,tourney_level=A & round=RR,False,21,0.0356,0.4762,0.4762,0.0,-0.134,-0.1323,0.0017,0.5063,0.4888,-0.0175,flat
2,rank_gap_bucket=>100 & age_gap_bucket=0-2,False,21,0.0356,0.5238,0.5238,0.0,-0.0864,-0.0847,0.0017,0.5549,0.5336,-0.0214,flat
2,round=R64 & rank_gap_bucket=26-50,False,21,0.0356,0.619,0.619,0.0,0.0089,0.0106,0.0017,0.5692,0.5512,-0.0181,flat
2,round=R64 & age_gap_bucket=3-5,False,21,0.0356,0.619,0.619,0.0,0.0089,0.0106,0.0017,0.5925,0.5757,-0.0168,flat
2,rank_gap_bucket=0-10 & form_gap_bucket=0.25-0.40,False,21,0.0356,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.5852,0.5687,-0.0165,flat
2,tourney_level=D & form_gap_bucket=0.25-0.40,False,19,0.0322,0.7895,0.7895,0.0,0.1793,0.181,0.0017,0.6079,0.6191,0.0111,flat
2,tourney_level=A & age_gap_bucket=0-2,False,18,0.0305,0.4444,0.4444,0.0,-0.1657,-0.164,0.0017,0.4845,0.4769,-0.0076,flat
2,round=R16 & rank_gap_bucket=>100,False,18,0.0305,0.4444,0.4444,0.0,-0.1657,-0.164,0.0017,0.4862,0.4819,-0.0043,flat
2,tourney_level=D & age_gap_bucket=0-2,False,18,0.0305,0.6111,0.6111,0.0,0.0009,0.0026,0.0017,0.5558,0.5492,-0.0066,flat
2,rank_gap_bucket=51-100 & age_gap_bucket=6-8,False,18,0.0305,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.5428,0.5431,0.0003,flat
2,round=R64 & form_gap_bucket=0.25-0.40,False,16,0.0271,0.8125,0.8125,0.0,0.2023,0.204,0.0017,0.6093,0.6039,-0.0054,flat
2,tourney_level=D & rank_gap_bucket=51-100,False,15,0.0254,0.5333,0.5333,0.0,-0.0768,-0.0751,0.0017,0.5005,0.4955,-0.005,flat
2,round=R64 & age_gap_bucket=>8,False,15,0.0254,0.7333,0.7333,0.0,0.1232,0.1249,0.0017,0.6094,0.6048,-0.0046,flat
2,round=RR & form_gap_bucket=>0.40,False,15,0.0254,0.8,0.8,0.0,0.1898,0.1915,0.0017,0.6576,0.6315,-0.0261,flat
2,tourney_level=D & age_gap_bucket=>8,False,14,0.0237,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.5304,0.5366,0.0062,flat
2,round=RR & age_gap_bucket=>8,False,14,0.0237,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.5304,0.5366,0.0062,flat
2,round=R128 & age_gap_bucket=3-5,False,14,0.0237,0.6429,0.6429,0.0,0.0327,0.0344,0.0017,0.5184,0.524,0.0056,flat
2,rank_gap_bucket=>100 & form_gap_bucket=>0.40,False,14,0.0237,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.6382,0.6339,-0.0043,flat
2,round=R64 & rank_gap_bucket=51-100,False,14,0.0237,0.7857,0.7857,0.0,0.1755,0.1772,0.0017,0.6598,0.645,-0.0148,flat
2,tourney_level=A & handedness_matchup=R-vs-R,False,13,0.022,0.5385,0.5385,0.0,-0.0717,-0.07,0.0017,0.5337,0.5185,-0.0151,flat
2,tourney_level=A & form_gap_bucket=0.00-0.10,False,13,0.022,0.6154,0.6154,0.0,0.0052,0.0069,0.0017,0.5301,0.5029,-0.0272,flat
2,round=R64 & form_gap_bucket=0.10-0.25,False,13,0.022,0.6154,0.6154,0.0,0.0052,0.0069,0.0017,0.5854,0.5791,-0.0062,flat
2,age_gap_bucket=3-5 & form_gap_bucket=>0.40,False,13,0.022,0.7692,0.7692,0.0,0.1591,0.1608,0.0017,0.6546,0.6261,-0.0285,flat
2,tourney_level=D & form_gap_bucket=>0.40,False,13,0.022,0.8462,0.8462,0.0,0.236,0.2377,0.0017,0.6811,0.6559,-0.0252,flat
2,round=SF & age_gap_bucket=0-2,False,12,0.0203,0.5833,0.5833,0.0,-0.0268,-0.0251,0.0017,0.5723,0.5466,-0.0257,flat
2,round=R64 & age_gap_bucket=0-2,False,12,0.0203,0.9167,0.9167,0.0,0.3065,0.3082,0.0017,0.6365,0.6088,-0.0277,flat
2,round=R64 & rank_gap_bucket=11-25,False,11,0.0186,0.6364,0.6364,0.0,0.0262,0.0279,0.0017,0.5588,0.5471,-0.0118,flat
2,round=SF & rank_gap_bucket=0-10,False,11,0.0186,0.6364,0.6364,0.0,0.0262,0.0279,0.0017,0.543,0.518,-0.025,flat
2,round=SF & form_gap_bucket=0.00-0.10,False,11,0.0186,0.6364,0.6364,0.0,0.0262,0.0279,0.0017,0.5222,0.5036,-0.0186,flat
1,handedness_matchup=L-vs-L,False,10,0.0169,0.7,0.7,0.0,0.0898,0.0915,0.0017,0.6397,0.5925,-0.0472,flat
2,surface=Hard & handedness_matchup=L-vs-L,False,10,0.0169,0.7,0.7,0.0,0.0898,0.0915,0.0017,0.6397,0.5925,-0.0472,flat
2,best_of=3 & handedness_matchup=L-vs-L,False,10,0.0169,0.7,0.7,0.0,0.0898,0.0915,0.0017,0.6397,0.5925,-0.0472,flat
2,tourney_level=500 & rank_gap_bucket=51-100,False,10,0.0169,0.8,0.8,0.0,0.1898,0.1915,0.0017,0.6711,0.6782,0.0071,flat
2,rank_gap_bucket=0-10 & age_gap_bucket=>8,False,9,0.0153,0.3333,0.3333,0.0,-0.2768,-0.2751,0.0017,0.4907,0.4907,0.0,flat
2,tourney_level=A & best_of=3,False,9,0.0153,0.5556,0.5556,0.0,-0.0546,-0.0529,0.0017,0.5434,0.5141,-0.0292,flat
2,tourney_level=A & rank_gap_bucket=11-25,False,9,0.0153,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.5374,0.5108,-0.0266,flat
2,round=R32 & form_gap_bucket=>0.40,False,9,0.0153,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.6304,0.6395,0.0091,flat
2,tourney_level=A & rank_gap_bucket=51-100,False,8,0.0136,0.375,0.375,0.0,-0.2352,-0.2335,0.0017,0.5,0.4984,-0.0016,flat
2,tourney_level=500 & round=SF,False,8,0.0136,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.5285,0.4967,-0.0318,flat
2,tourney_level=250 & form_gap_bucket=>0.40,False,8,0.0136,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.4974,0.5199,0.0225,flat
2,round=R64 & age_gap_bucket=6-8,False,8,0.0136,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.5402,0.5357,-0.0045,flat
1,tourney_level=G,False,8,0.0136,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5679,0.5581,-0.0098,flat
2,surface=Hard & tourney_level=G,False,8,0.0136,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5679,0.5581,-0.0098,flat
2,round=SF & age_gap_bucket=>8,False,8,0.0136,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5111,0.5028,-0.0083,flat
2,tourney_level=A & form_gap_bucket=0.25-0.40,False,7,0.0119,0.4286,0.4286,0.0,-0.1816,-0.1799,0.0017,0.4937,0.4878,-0.0059,flat
2,round=F & form_gap_bucket=0.00-0.10,False,7,0.0119,0.4286,0.4286,0.0,-0.1816,-0.1799,0.0017,0.4914,0.474,-0.0174,flat
2,round=SF & form_gap_bucket=0.25-0.40,False,7,0.0119,0.4286,0.4286,0.0,-0.1816,-0.1799,0.0017,0.4906,0.45,-0.0406,flat
2,round=R64 & rank_gap_bucket=>100,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.6463,0.6404,-0.0059,flat
2,round=SF & rank_gap_bucket=11-25,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.5633,0.5439,-0.0194,flat
2,age_gap_bucket=0-2 & form_gap_bucket=>0.40,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.6066,0.5968,-0.0097,flat
2,age_gap_bucket=6-8 & form_gap_bucket=>0.40,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.6518,0.6864,0.0346,flat
2,round=SF & rank_gap_bucket=51-100,False,6,0.0102,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.513,0.499,-0.014,flat
2,tourney_level=G & handedness_matchup=R-vs-R,False,6,0.0102,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.5809,0.5828,0.0019,flat
2,round=R128 & rank_gap_bucket=11-25,False,6,0.0102,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.541,0.5246,-0.0164,flat
2,tourney_level=F & form_gap_bucket=0.25-0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.6635,0.6288,-0.0347,flat
2,round=R128 & age_gap_bucket=0-2,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.5908,0.5661,-0.0247,flat
2,handedness_matchup=L-vs-L & rank_gap_bucket=51-100,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.716,0.6508,-0.0652,flat
2,rank_gap_bucket=0-10 & form_gap_bucket=>0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.6052,0.5958,-0.0093,flat
2,rank_gap_bucket=26-50 & form_gap_bucket=>0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.7518,0.7498,-0.0021,flat
2,age_gap_bucket=>8 & form_gap_bucket=>0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.6985,0.7045,0.006,flat
2,tourney_level=G & form_gap_bucket=0.10-0.25,False,5,0.0085,0.4,0.4,0.0,-0.2102,-0.2085,0.0017,0.4954,0.4929,-0.0025,flat
2,tourney_level=G & rank_gap_bucket=11-25,False,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.5844,0.5792,-0.0052,flat
2,round=R128 & form_gap_bucket=0.25-0.40,False,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.5596,0.5724,0.0128,flat
2,round=R16 & form_gap_bucket=>0.40,False,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.558,0.5876,0.0295,flat
2,rank_gap_bucket=51-100 & form_gap_bucket=>0.40,False,5,0.0085,0.8,0.8,0.0,0.1898,0.1915,0.0017,0.6837,0.6839,0.0002,flat
2,tourney_level=M & form_gap_bucket=>0.40,False,5,0.0085,1.0,1.0,0.0,0.3898,0.3915,0.0017,0.8122,0.8133,0.001,flat
1,best_of=3,False,567,0.961,0.6138,0.612,-0.0018,0.0036,0.0035,-0.0001,0.5593,0.5522,-0.0071,down
1,surface=Hard,False,583,0.9881,0.6106,0.6072,-0.0034,0.0005,-0.0013,-0.0017,0.5574,0.5503,-0.0071,down
2,surface=Hard & best_of=3,False,560,0.9492,0.6143,0.6107,-0.0036,0.0041,0.0022,-0.0019,0.5593,0.5523,-0.007,down
2,tourney_level=250 & handedness_matchup=R-vs-R,False,138,0.2339,0.5725,0.5652,-0.0072,-0.0377,-0.0433,-0.0056,0.534,0.535,0.001,down
2,surface=Hard & age_gap_bucket=6-8,False,119,0.2017,0.6555,0.6471,-0.0084,0.0453,0.0386,-0.0067,0.5765,0.572,-0.0045,down
1,round=RR,False,117,0.1983,0.5726,0.5641,-0.0085,-0.0375,-0.0444,-0.0069,0.5444,0.5357,-0.0087,down
1,handedness_matchup=R-vs-R,False,429,0.7271,0.634,0.6247,-0.0093,0.0239,0.0162,-0.0076,0.5647,0.5582,-0.0065,down
2,surface=Hard & handedness_matchup=R-vs-R,False,425,0.7203,0.6306,0.6212,-0.0094,0.0204,0.0127,-0.0077,0.5639,0.5576,-0.0063,down
2,best_of=3 & round=RR,False,105,0.178,0.5905,0.581,-0.0095,-0.0197,-0.0275,-0.0078,0.552,0.5432,-0.0088,down
2,best_of=3 & handedness_matchup=R-vs-R,False,416,0.7051,0.6346,0.625,-0.0096,0.0244,0.0165,-0.0079,0.5647,0.5582,-0.0065,down
1,age_gap_bucket=3-5,False,193,0.3271,0.5492,0.5389,-0.0104,-0.0609,-0.0696,-0.0087,0.5333,0.5266,-0.0068,down
2,surface=Hard & age_gap_bucket=3-5,False,191,0.3237,0.5497,0.5393,-0.0105,-0.0604,-0.0692,-0.0088,0.5337,0.5267,-0.007,down
2,best_of=3 & age_gap_bucket=3-5,False,188,0.3186,0.5479,0.5372,-0.0106,-0.0623,-0.0712,-0.0089,0.533,0.5264,-0.0066,down
1,tourney_level=250,False,187,0.3169,0.5722,0.5615,-0.0107,-0.038,-0.047,-0.009,0.5316,0.5306,-0.001,down
2,surface=Hard & tourney_level=250,False,187,0.3169,0.5722,0.5615,-0.0107,-0.038,-0.047,-0.009,0.5316,0.5306,-0.001,down
2,tourney_level=250 & best_of=3,False,187,0.3169,0.5722,0.5615,-0.0107,-0.038,-0.047,-0.009,0.5316,0.5306,-0.001,down
2,handedness_matchup=R-vs-R & rank_gap_bucket=>100,False,92,0.1559,0.6304,0.6196,-0.0109,0.0203,0.0111,-0.0092,0.566,0.5573,-0.0087,down
2,handedness_matchup=R-vs-R & age_gap_bucket=6-8,False,89,0.1508,0.7416,0.7303,-0.0112,0.1314,0.1219,-0.0095,0.6037,0.5984,-0.0053,down
2,handedness_matchup=R-vs-R & rank_gap_bucket=11-25,False,86,0.1458,0.5233,0.5116,-0.0116,-0.0869,-0.0968,-0.0099,0.5056,0.5032,-0.0023,down
2,round=RR & handedness_matchup=R-vs-R,False,83,0.1407,0.6506,0.6386,-0.012,0.0404,0.0301,-0.0104,0.5696,0.5575,-0.0122,down
1,rank_gap_bucket=11-25,False,125,0.2119,0.568,0.552,-0.016,-0.0422,-0.0565,-0.0143,0.5243,0.5169,-0.0074,down
2,surface=Hard & rank_gap_bucket=11-25,False,125,0.2119,0.568,0.552,-0.016,-0.0422,-0.0565,-0.0143,0.5243,0.5169,-0.0074,down
2,tourney_level=M & form_gap_bucket=0.00-0.10,False,61,0.1034,0.6885,0.6721,-0.0164,0.0784,0.0637,-0.0147,0.5735,0.556,-0.0175,down
2,best_of=3 & rank_gap_bucket=11-25,False,117,0.1983,0.5556,0.5385,-0.0171,-0.0546,-0.07,-0.0154,0.5201,0.5132,-0.0069,down
2,surface=Hard & round=RR,False,110,0.1864,0.5727,0.5545,-0.0182,-0.0374,-0.0539,-0.0165,0.5433,0.5349,-0.0084,down
2,rank_gap_bucket=11-25 & age_gap_bucket=3-5,False,52,0.0881,0.4038,0.3846,-0.0192,-0.2063,-0.2239,-0.0175,0.4811,0.4737,-0.0074,down
1,tourney_level=M,False,150,0.2542,0.6867,0.6667,-0.02,0.0765,0.0582,-0.0183,0.5868,0.5747,-0.0122,down
2,surface=Hard & tourney_level=M,False,150,0.2542,0.6867,0.6667,-0.02,0.0765,0.0582,-0.0183,0.5868,0.5747,-0.0122,down
2,tourney_level=M & best_of=3,False,150,0.2542,0.6867,0.6667,-0.02,0.0765,0.0582,-0.0183,0.5868,0.5747,-0.0122,down
1,form_gap_bucket=0.10-0.25,False,195,0.3305,0.5692,0.5487,-0.0205,-0.0409,-0.0598,-0.0188,0.5459,0.5372,-0.0086,down
2,best_of=3 & form_gap_bucket=0.10-0.25,False,189,0.3203,0.5767,0.5556,-0.0212,-0.0334,-0.0529,-0.0195,0.5483,0.5393,-0.009,down
1,rank_gap_bucket=0-10,False,94,0.1593,0.5745,0.5532,-0.0213,-0.0357,-0.0553,-0.0196,0.5343,0.5224,-0.0119,down
2,surface=Hard & rank_gap_bucket=0-10,False,94,0.1593,0.5745,0.5532,-0.0213,-0.0357,-0.0553,-0.0196,0.5343,0.5224,-0.0119,down
2,best_of=3 & rank_gap_bucket=0-10,False,89,0.1508,0.573,0.5506,-0.0225,-0.0371,-0.0579,-0.0208,0.5349,0.5228,-0.0121,down
2,rank_gap_bucket=>100 & form_gap_bucket=0.10-0.25,False,44,0.0746,0.6364,0.6136,-0.0227,0.0262,0.0052,-0.021,0.5694,0.5572,-0.0122,down
2,age_gap_bucket=0-2 & form_gap_bucket=0.10-0.25,False,44,0.0746,0.6591,0.6364,-0.0227,0.0489,0.0279,-0.021,0.5905,0.5698,-0.0207,down
2,tourney_level=M & rank_gap_bucket=26-50,False,43,0.0729,0.7209,0.6977,-0.0233,0.1108,0.0892,-0.0216,0.6113,0.5945,-0.0168,down
2,rank_gap_bucket=26-50 & age_gap_bucket=3-5,False,43,0.0729,0.6512,0.6279,-0.0233,0.041,0.0194,-0.0216,0.5578,0.5565,-0.0013,down
2,round=RR & form_gap_bucket=0.00-0.10,False,41,0.0695,0.561,0.5366,-0.0244,-0.0492,-0.0719,-0.0227,0.5258,0.513,-0.0128,down
2,round=R32 & rank_gap_bucket=11-25,False,40,0.0678,0.55,0.525,-0.025,-0.0602,-0.0835,-0.0233,0.5182,0.5111,-0.0071,down
2,surface=Hard & form_gap_bucket=0.10-0.25,False,194,0.3288,0.5722,0.5464,-0.0258,-0.038,-0.0621,-0.0241,0.5463,0.5374,-0.0089,down
2,rank_gap_bucket=51-100 & form_gap_bucket=0.10-0.25,False,37,0.0627,0.6216,0.5946,-0.027,0.0115,-0.0139,-0.0253,0.5607,0.5598,-0.0009,down
2,rank_gap_bucket=0-10 & form_gap_bucket=0.00-0.10,False,37,0.0627,0.5405,0.5135,-0.027,-0.0696,-0.095,-0.0253,0.5105,0.5052,-0.0053,down
2,handedness_matchup=R-vs-R & age_gap_bucket=3-5,False,138,0.2339,0.5652,0.5362,-0.029,-0.045,-0.0722,-0.0273,0.5334,0.5261,-0.0073,down
2,tourney_level=M & rank_gap_bucket=11-25,False,34,0.0576,0.6471,0.6176,-0.0294,0.0369,0.0092,-0.0277,0.5472,0.5282,-0.019,down
2,tourney_level=D & age_gap_bucket=3-5,False,32,0.0542,0.5625,0.5312,-0.0312,-0.0477,-0.0772,-0.0296,0.535,0.5276,-0.0075,down
1,round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
2,surface=Hard & round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
2,tourney_level=M & round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
2,best_of=3 & round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
1,round=SF,False,32,0.0542,0.6562,0.625,-0.0312,0.0461,0.0165,-0.0296,0.5579,0.5365,-0.0214,down
