slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,tourney_level=G & best_of=5,True,8,0.0136,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5679,0.5581,-0.0098,flat
2,tourney_level=M & round=QF,True,8,0.0136,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5811,0.5611,-0.02,flat
2,best_of=5 & rank_gap_bucket=11-25,True,8,0.0136,0.75,0.75,0.0,0.1398,0.1415,0.0017,0.5857,0.5707,-0.0151,flat
2,round=QF & age_gap_bucket=>8,True,8,0.0136,0.75,0.75,0.0,0.1398,0.1415,0.0017,0.6245,0.6033,-0.0212,flat
2,best_of=5 & rank_gap_bucket=51-100,True,7,0.0119,0.2857,0.2857,0.0,-0.3245,-0.3228,0.0017,0.4669,0.4674,0.0005,flat
2,best_of=5 & form_gap_bucket=0.10-0.25,True,6,0.0102,0.3333,0.3333,0.0,-0.2768,-0.2751,0.0017,0.4692,0.473,0.0038,flat
2,handedness_matchup=L-vs-R & form_gap_bucket=>0.40,True,6,0.0102,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.6109,0.6244,0.0135,flat
2,best_of=5 & rank_gap_bucket=0-10,True,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.5234,0.5149,-0.0085,flat
2,best_of=5 & age_gap_bucket=3-5,True,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.547,0.5349,-0.0121,flat
2,tourney_level=250 & handedness_matchup=L-vs-R,True,45,0.0763,0.5333,0.5111,-0.0222,-0.0768,-0.0974,-0.0205,0.5124,0.5092,-0.0031,down
2,handedness_matchup=L-vs-R & age_gap_bucket=0-2,True,43,0.0729,0.6047,0.5814,-0.0233,-0.0055,-0.0271,-0.0216,0.5484,0.5279,-0.0205,down
2,handedness_matchup=L-vs-R & rank_gap_bucket=11-25,True,39,0.0661,0.6667,0.641,-0.0256,0.0565,0.0326,-0.0239,0.5657,0.547,-0.0187,down
2,round=QF & form_gap_bucket=0.10-0.25,True,20,0.0339,0.4,0.35,-0.05,-0.2102,-0.2585,-0.0483,0.518,0.5026,-0.0154,down
1,round=QF,True,55,0.0932,0.5091,0.4545,-0.0545,-0.1011,-0.1539,-0.0529,0.5169,0.5073,-0.0097,down
2,surface=Hard & round=QF,True,55,0.0932,0.5091,0.4545,-0.0545,-0.1011,-0.1539,-0.0529,0.5169,0.5073,-0.0097,down
2,best_of=3 & round=QF,True,51,0.0864,0.5294,0.4706,-0.0588,-0.0808,-0.1379,-0.0571,0.5211,0.5109,-0.0102,down
2,round=QF & rank_gap_bucket=26-50,True,15,0.0254,0.6,0.5333,-0.0667,-0.0102,-0.0751,-0.065,0.5487,0.5454,-0.0033,down
2,round=QF & handedness_matchup=R-vs-R,True,41,0.0695,0.5366,0.4634,-0.0732,-0.0736,-0.1451,-0.0715,0.5267,0.5189,-0.0078,down
2,round=QF & rank_gap_bucket=0-10,True,13,0.022,0.5385,0.4615,-0.0769,-0.0717,-0.1469,-0.0752,0.5332,0.5087,-0.0245,down
2,round=QF & age_gap_bucket=6-8,True,13,0.022,0.6154,0.5385,-0.0769,0.0052,-0.07,-0.0752,0.6036,0.5857,-0.018,down
2,round=QF & age_gap_bucket=3-5,True,24,0.0407,0.375,0.2917,-0.0833,-0.2352,-0.3168,-0.0816,0.447,0.4397,-0.0073,down
